Year;Official Code State;Official Name State;Official Code Local Government Area;Official Name Local Government Area;Iso 3166-3 Area Code;Type;Long Official Name Local Government Area
2021;6;Tasmania;65810;West Tamar;AUS;local government area;West Tamar
2021;1;New South Wales;10250;Ballina;AUS;local government area;Ballina
2021;1;New South Wales;11200;Brewarrina;AUS;local government area;Brewarrina
2021;1;New South Wales;12150;Coonamble;AUS;local government area;Coonamble
2021;1;New South Wales;13910;Hilltops;AUS;local government area;Hilltops
2021;2;Victoria;26980;Whitehorse;AUS;local government area;Whitehorse
2021;3;Queensland;32600;Croydon;AUS;local government area;Croydon
2021;4;South Australia;44060;Marion;AUS;local government area;Marion
2021;4;South Australia;47800;Coorong;AUS;local government area;Coorong
2021;4;South Australia;48340;Wattle Range;AUS;local government area;Wattle Range
2021;5;Western Australia;50280;Augusta Margaret River;AUS;local government area;Augusta Margaret River
2021;5;Western Australia;52870;Donnybrook-Balingup;AUS;local government area;Donnybrook-Balingup
2021;5;Western Australia;53800;Greater Geraldton;AUS;local government area;Greater Geraldton
2021;5;Western Australia;54550;Kojonup;AUS;local government area;Kojonup
2021;5;Western Australia;55040;Leonora;AUS;local government area;Leonora
2021;5;Western Australia;55460;Merredin;AUS;local government area;Merredin
2021;5;Western Australia;56580;Nedlands;AUS;local government area;Nedlands
2021;5;Western Australia;58470;Upper Gascoyne;AUS;local government area;Upper Gascoyne
2021;7;Northern Territory;71300;East Arnhem;AUS;local government area;East Arnhem
2021;1;New South Wales;12350;Cowra;AUS;local government area;Cowra
2021;1;New South Wales;15560;Murrumbidgee;AUS;local government area;Murrumbidgee
2021;1;New South Wales;17750;Wagga Wagga;AUS;local government area;Wagga Wagga
2021;1;New South Wales;18100;Weddin;AUS;local government area;Weddin
2021;2;Victoria;22620;Greater Bendigo;AUS;local government area;Greater Bendigo
2021;2;Victoria;23810;Latrobe;AUS;local government area;Latrobe (Vic.)
2021;2;Victoria;26490;Surf Coast;AUS;local government area;Surf Coast
2021;3;Queensland;36370;Rockhampton;AUS;local government area;Rockhampton
2021;3;Queensland;37300;Weipa;AUS;local government area;Weipa
2021;3;Queensland;37310;Western Downs;AUS;local government area;Western Downs
2021;4;South Australia;40220;Alexandrina;AUS;local government area;Alexandrina
2021;5;Western Australia;51260;Busselton;AUS;local government area;Busselton
2021;5;Western Australia;58510;Victoria Park;AUS;local government area;Victoria Park
2021;6;Tasmania;62810;Hobart;AUS;local government area;Hobart
2021;1;New South Wales;12870;Federation;AUS;local government area;Federation
2021;1;New South Wales;16150;Orange;AUS;local government area;Orange
2021;1;New South Wales;16550;Randwick;AUS;local government area;Randwick
2021;2;Victoria;21830;Corangamite;AUS;local government area;Corangamite
2021;2;Victoria;23940;Loddon;AUS;local government area;Loddon
2021;2;Victoria;24780;Mildura;AUS;local government area;Mildura
2021;2;Victoria;24970;Monash;AUS;local government area;Monash
2021;2;Victoria;25340;Mornington Peninsula;AUS;local government area;Mornington Peninsula
2021;3;Queensland;31820;Bundaberg;AUS;local government area;Bundaberg
2021;3;Queensland;32770;Doomadgee;AUS;local government area;Doomadgee
2021;3;Queensland;33800;Hinchinbrook;AUS;local government area;Hinchinbrook
2021;4;South Australia;41140;Clare and Gilbert Valleys;AUS;local government area;Clare and Gilbert Valleys
2021;4;South Australia;41190;Cleve;AUS;local government area;Cleve
2021;4;South Australia;41830;Flinders Ranges;AUS;local government area;Flinders Ranges
2021;4;South Australia;42600;Holdfast Bay;AUS;local government area;Holdfast Bay
2021;4;South Australia;43790;Loxton Waikerie;AUS;local government area;Loxton Waikerie
2021;4;South Australia;44830;Mount Remarkable;AUS;local government area;Mount Remarkable
2021;4;South Australia;48260;Walkerville;AUS;local government area;Walkerville
2021;5;Western Australia;52520;Dalwallinu;AUS;local government area;Dalwallinu
2021;5;Western Australia;53360;Exmouth;AUS;local government area;Exmouth
2021;5;Western Australia;54900;Lake Grace;AUS;local government area;Lake Grace
2021;5;Western Australia;55390;Menzies;AUS;local government area;Menzies
2021;5;Western Australia;56620;Ngaanyatjarraku;AUS;local government area;Ngaanyatjarraku
2021;5;Western Australia;56730;Northam;AUS;local government area;Northam
2021;6;Tasmania;63610;Kingborough;AUS;local government area;Kingborough
2021;6;Tasmania;63810;Latrobe;AUS;local government area;Latrobe (Tas.)
2021;6;Tasmania;65210;Tasman;AUS;local government area;Tasman
2021;1;New South Wales;10470;Bathurst Regional;AUS;local government area;Bathurst Regional
2021;1;New South Wales;12390;Dubbo Regional;AUS;local government area;Dubbo Regional
2021;1;New South Wales;13850;Hay;AUS;local government area;Hay
2021;2;Victoria;22490;Golden Plains;AUS;local government area;Golden Plains
2021;2;Victoria;22830;Greater Shepparton;AUS;local government area;Greater Shepparton
2021;3;Queensland;32330;Cherbourg;AUS;local government area;Cherbourg
2021;3;Queensland;35740;Noosa;AUS;local government area;Noosa
2021;3;Queensland;36820;Tablelands;AUS;local government area;Tablelands
2021;4;South Australia;40700;Burnside;AUS;local government area;Burnside
2021;4;South Australia;46510;Prospect;AUS;local government area;Prospect
2021;5;Western Australia;50080;Albany;AUS;local government area;Albany
2021;5;Western Australia;54280;Kalgoorlie-Boulder;AUS;local government area;Kalgoorlie-Boulder
2021;5;Western Australia;54410;Kellerberrin;AUS;local government area;Kellerberrin
2021;5;Western Australia;57700;Serpentine-Jarrahdale;AUS;local government area;Serpentine-Jarrahdale
2021;1;New South Wales;10500;Bayside;AUS;local government area;Bayside (NSW)
2021;1;New South Wales;10750;Blacktown;AUS;local government area;Blacktown
2021;1;New South Wales;11650;Central Coast;AUS;local government area;Central Coast (NSW)
2021;1;New South Wales;14650;Lake Macquarie;AUS;local government area;Lake Macquarie
2021;1;New South Wales;17100;Strathfield;AUS;local government area;Strathfield
2021;1;New South Wales;17400;Tenterfield;AUS;local government area;Tenterfield
2021;2;Victoria;21270;Buloke;AUS;local government area;Buloke
2021;2;Victoria;24130;Macedon Ranges;AUS;local government area;Macedon Ranges
2021;2;Victoria;26730;Warrnambool;AUS;local government area;Warrnambool
2021;2;Victoria;26890;West Wimmera;AUS;local government area;West Wimmera
2021;3;Queensland;34590;Logan;AUS;local government area;Logan
2021;3;Queensland;34710;Longreach;AUS;local government area;Longreach
2021;3;Queensland;34880;Mareeba;AUS;local government area;Mareeba
2021;3;Queensland;35010;Moreton Bay;AUS;local government area;Moreton Bay
2021;5;Western Australia;52170;Cottesloe;AUS;local government area;Cottesloe
2021;5;Western Australia;53710;Goomalling;AUS;local government area;Goomalling
2021;1;New South Wales;11720;Cessnock;AUS;local government area;Cessnock
2021;1;New South Wales;12160;Cootamundra-Gundagai Regional;AUS;local government area;Cootamundra-Gundagai Regional
2021;1;New South Wales;14100;Hunters Hill;AUS;local government area;Hunters Hill
2021;1;New South Wales;14950;Lockhart;AUS;local government area;Lockhart
2021;1;New South Wales;17550;Tweed;AUS;local government area;Tweed
2021;2;Victoria;20570;Ballarat;AUS;local government area;Ballarat
2021;2;Victoria;23110;Hobsons Bay;AUS;local government area;Hobsons Bay
2021;2;Victoria;23270;Hume;AUS;local government area;Hume
2021;2;Victoria;26810;Wellington;AUS;local government area;Wellington
2021;2;Victoria;27260;Wyndham;AUS;local government area;Wyndham
2021;3;Queensland;33830;Hope Vale;AUS;local government area;Hope Vale
2021;3;Queensland;36510;Scenic Rim;AUS;local government area;Scenic Rim
2021;4;South Australia;40910;Campbelltown;AUS;local government area;Campbelltown (SA)
2021;4;South Australia;45540;Peterborough;AUS;local government area;Peterborough
2021;4;South Australia;45680;Playford;AUS;local government area;Playford
2021;4;South Australia;46450;Port Pirie;AUS;local government area;Port Pirie
2021;4;South Australia;48540;Whyalla;AUS;local government area;Whyalla
2021;5;Western Australia;50560;Beverley;AUS;local government area;Beverley
2021;5;Western Australia;54200;Kalamunda;AUS;local government area;Kalamunda
2021;5;Western Australia;54970;Laverton;AUS;local government area;Laverton
2021;1;New South Wales;11570;Canterbury-Bankstown;AUS;local government area;Canterbury-Bankstown
2021;1;New South Wales;12950;Gilgandra;AUS;local government area;Gilgandra
2021;1;New South Wales;14870;Lithgow;AUS;local government area;Lithgow
2021;1;New South Wales;14900;Liverpool;AUS;local government area;Liverpool
2021;1;New South Wales;15050;Maitland;AUS;local government area;Maitland
2021;1;New South Wales;18350;Wingecarribee;AUS;local government area;Wingecarribee
2021;2;Victoria;21180;Brimbank;AUS;local government area;Brimbank
2021;2;Victoria;25710;Nillumbik;AUS;local government area;Nillumbik
2021;3;Queensland;32450;Cloncurry;AUS;local government area;Cloncurry
2021;3;Queensland;33960;Ipswich;AUS;local government area;Ipswich
2021;3;Queensland;35790;Palm Island;AUS;local government area;Palm Island
